"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"1003","wks01-erik","System.Byte[]","2708","(0)","0","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 0724cb7d-3437-4cb7-93cb-830375d0079d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 135c4b88-f555-4779-abf6-4c1365d279b6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 30a42c86-b7a0-4a34-8c90-ff177cb2acb7, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
5: 60b3ec1b-9545-4921-821f-311b129dd6f6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 632ffa10-3b75-4180-aed9-4e799a44563b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 7a802526-4c94-4bd1-ba14-835a1aca2120, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 90da7373-1c51-430b-bf26-c97e9c5cdc31, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 97348f2f-bebc-4653-a4bd-18a895d316d9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: d06934ee-5448-4fd1-964a-cd077618aa06, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: d552befb-48cc-4327-8f39-47d2d94f987c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: ed655016-a9e8-4434-95d9-4345352c2552, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","Software Protection Platform Service","System.String[]","1073742827","12/11/2023 8:40:49 PM","12/11/2023 8:40:49 PM",,,
"1003","wks01-erik","System.Byte[]","2707","(0)","0","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 0724cb7d-3437-4cb7-93cb-830375d0079d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 135c4b88-f555-4779-abf6-4c1365d279b6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 30a42c86-b7a0-4a34-8c90-ff177cb2acb7, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
5: 60b3ec1b-9545-4921-821f-311b129dd6f6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 632ffa10-3b75-4180-aed9-4e799a44563b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 7a802526-4c94-4bd1-ba14-835a1aca2120, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 90da7373-1c51-430b-bf26-c97e9c5cdc31, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 97348f2f-bebc-4653-a4bd-18a895d316d9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: d06934ee-5448-4fd1-964a-cd077618aa06, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: d552befb-48cc-4327-8f39-47d2d94f987c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: ed655016-a9e8-4434-95d9-4345352c2552, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","Software Protection Platform Service","System.String[]","1073742827","12/11/2023 8:40:48 PM","12/11/2023 8:40:48 PM",,,
"16394","wks01-erik","System.Byte[]","2706","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/11/2023 8:39:49 PM","12/11/2023 8:39:49 PM",,,
"0","wks01-erik","System.Byte[]","2705","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/11/2023 4:06:42 PM","12/11/2023 4:06:42 PM",,,
"16384","wks01-erik","System.Byte[]","2704","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-12T01:39:49Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/11/2023 12:18:49 PM","12/11/2023 12:18:49 PM",,,
"16394","wks01-erik","System.Byte[]","2703","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/11/2023 12:18:19 PM","12/11/2023 12:18:19 PM",,,
"0","wks01-erik","System.Byte[]","2702","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/11/2023 11:06:49 AM","12/11/2023 11:06:49 AM",,,
"0","wks01-erik","System.Byte[]","2701","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/11/2023 6:06:49 AM","12/11/2023 6:06:49 AM",,,
"16384","wks01-erik","System.Byte[]","2700","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-12T01:39:52Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/11/2023 2:39:52 AM","12/11/2023 2:39:52 AM",,,
"16394","wks01-erik","System.Byte[]","2699","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/11/2023 2:39:18 AM","12/11/2023 2:39:18 AM",,,
"0","wks01-erik","System.Byte[]","2698","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/11/2023 1:06:59 AM","12/11/2023 1:06:59 AM",,,
"15","wks01-erik","System.Byte[]","2697","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/11/2023 12:40:05 AM","12/11/2023 12:40:05 AM",,,
"15","wks01-erik","System.Byte[]","2696","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/11/2023 12:40:05 AM","12/11/2023 12:40:05 AM",,,
"15","wks01-erik","System.Byte[]","2695","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/11/2023 12:40:03 AM","12/11/2023 12:40:03 AM",,,
"15","wks01-erik","System.Byte[]","2694","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/11/2023 12:40:03 AM","12/11/2023 12:40:03 AM",,,
"16384","wks01-erik","System.Byte[]","2693","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-12T01:40:20Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/10/2023 9:16:20 PM","12/10/2023 9:16:20 PM",,,
"15","wks01-erik","System.Byte[]","2692","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/10/2023 9:16:17 PM","12/10/2023 9:16:17 PM",,,
"15","wks01-erik","System.Byte[]","2691","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/10/2023 9:16:17 PM","12/10/2023 9:16:17 PM",,,
"16394","wks01-erik","System.Byte[]","2690","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/10/2023 9:15:39 PM","12/10/2023 9:15:39 PM",,,
"16384","wks01-erik","System.Byte[]","2689","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-12T01:40:19Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/10/2023 8:41:19 PM","12/10/2023 8:41:19 PM",,,
"8198","wks01-erik","System.Byte[]","2688","(0)","0","Error","License Activation (slui.exe) failed with the following error code:
hr=0x8007007B
Command-line arguments:
RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee;NotificationInterval=1440;Trigger=TimerEvent","Software Protection Platform Service","System.String[]","3221233670","12/10/2023 8:40:49 PM","12/10/2023 8:40:49 PM",,,
